IDpol,ClaimNb,Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region
2258593.5,0.0,0.21,E,10.0,8.0,51.0,72.0,B11,Regular,3835.3975,R31
4128795.2,0.0,1.0,A,5.0,8.0,59.0,50.0,B3,Diesel,40.0,R52
49967.418,0.0,1.0,A,9.0,17.0,48.0,50.0,B3,Diesel,16.0,R24
1194908.8,0.0,0.16,D,7.0,11.0,37.0,72.0,B13,Regular,1957.3291,R82
3159395.0,0.0,0.06,D,5.0,21.0,58.0,50.0,B2,Regular,715.3314,R23
62304.76,0.0,0.35926917,A,7.0,9.0,32.0,64.0,B2,Regular,23.0,R24
2200208.2,0.0,1.0,A,4.0,5.0,26.0,64.0,B3,Regular,19.0,R93
2105813.2,0.0,1.0,A,5.0,10.0,50.0,50.0,B4,Diesel,27.0,R82
55977.69,0.0,1.0,C,8.0,2.0,33.0,50.0,B1,Diesel,328.1019,R43
4161421.8,0.0,1.0,C,5.0,18.0,55.612465,95.0,B1,Diesel,151.68898,R24
3012385.5,0.0,0.04,C,10.0,3.0,32.0,72.0,B1,Regular,373.67535,R25
2062488.9,0.0,1.0,D,5.0,5.0,35.0,57.0,B6,Regular,1191.4381,R31
124511.31,0.0,1.0,A,5.0,4.0,66.0,50.0,B13,Regular,59.0,R53
2051748.6,0.0,0.08,C,7.0,0.0,33.0,50.0,B4,Regular,382.30676,R93
1196207.4,0.0,0.24,E,6.0,9.0,36.0,60.0,B1,Regular,3317.0,R93
1185065.4,0.0,0.08,D,6.0,9.0,22.0,95.0,B2,Diesel,747.0,R24
54186.188,0.0,1.0,B,5.0,14.0,30.0,76.0,B2,Diesel,57.0,R24
2277084.0,0.0,0.03,E,6.0,4.0,48.0,50.0,B5,Diesel,4728.561,R82
4152618.5,0.0,0.26,C,9.0,1.0,32.0,57.0,B13,Diesel,252.59792,R11
5016193.5,0.0,0.56,C,5.0,4.0,72.0,50.0,B12,Regular,125.0,R31
2124578.8,0.0,1.0,D,5.0,2.0,23.0,80.0,B12,Regular,827.822,R72
3212855.5,0.0,0.12,E,5.0,0.0,33.0,50.0,B2,Regular,3022.2947,R24
4177108.5,0.0,0.49,C,6.0,12.0,36.0,50.0,B13,Regular,105.0,R24
6014908.0,0.0,0.17,E,6.0,5.0,52.0,51.0,B12,Regular,3301.0,R11
2131142.0,0.0,1.0,A,4.0,2.0,40.0,55.0,B2,Regular,22.0,R53
1071958.1,0.0,0.35,C,6.0,6.568731,64.32629,50.0,B2,Regular,226.80316,R53
2225026.8,0.0,1.0,C,6.0,3.0,36.0,58.0,B5,Regular,340.46768,R91
3197382.8,0.0,0.26,D,5.0,2.0,59.0,54.0,B4,Regular,1002.7919,R91
151970.06,0.0,1.0,F,7.0,2.0,36.0,58.0,B1,Diesel,27000.0,R11
5034843.0,0.0,0.21,B,7.0,14.523802,36.0,50.0,B2,Diesel,69.9825,R24
2100593.0,0.0,0.45,C,7.0,5.0,38.0,64.0,B4,Regular,239.14026,R93
3004305.2,0.0,0.49,C,5.0,11.0,52.0,50.0,B2,Diesel,120.68485,R91
3158805.2,0.0,1.0,E,4.0,15.0,60.0,50.0,B3,Regular,6519.098,R52
3158565.8,0.0,0.01,E,4.0,0.0,58.0,50.0,B12,Regular,4673.343,R91
101699.03,0.0,1.0,C,7.0,18.0,42.0,50.0,B2,Regular,186.0,R24
2287543.8,0.0,0.38,A,6.0,13.0,29.0,69.94464,B3,Diesel,17.0,R93
3076659.0,0.0,0.18,E,5.0,14.0,60.0,50.0,B1,Diesel,3301.0,R73
6048522.5,0.0,0.48,C,9.0,5.0,47.0,50.0,B12,Regular,249.99565,R11
2275419.8,0.0,0.39,E,5.0,3.0,57.0,50.0,B1,Regular,2012.3245,R53
43321.49,0.0,0.5440539,C,5.0,15.0,55.0,50.0,B2,Regular,323.65863,R73
167263.34,0.0,0.15496473,C,7.0,0.0,61.0,50.0,B1,Diesel,157.0186,R11
2264428.5,0.0,0.32,B,4.0,6.0,39.0,50.0,B1,Regular,51.0,R24
1133940.1,0.0,1.0,D,6.0,9.0,43.0,50.0,B5,Diesel,1403.0,R72
4157140.8,0.0,0.02,C,8.0,0.0,56.0,50.0,B11,Diesel,233.63837,R53
114591.63,0.0,1.0,C,6.0,3.0,57.0,50.0,B4,Regular,182.0,R24
5047691.5,0.0,0.17,D,6.0,9.0,27.0,67.0,B1,Diesel,672.1531,R31
5105489.0,0.0,0.04,C,6.0,8.0,32.0,50.0,B1,Diesel,144.0,R53
1109708.4,0.0,1.0,C,5.0,18.0,45.0,50.0,B1,Diesel,140.2357,R53
6109307.0,0.0,0.24,E,4.0,6.0,19.0,95.0,B12,Regular,9307.0,R82
4120239.2,0.0,0.16,E,5.0,9.0,41.0,50.0,B1,Diesel,2689.7285,R24
4040378.5,0.0,0.59,C,4.0,6.0,52.0,51.0,B1,Diesel,234.7617,R94
3073662.2,0.0,1.0,D,7.0,9.0,41.0,90.0,B1,Regular,1020.86945,R82
3168841.5,0.0,0.12,C,7.0,1.0,36.0,54.0,B1,Diesel,200.98935,R82
3232883.8,0.0,0.24,E,7.0,8.197857,49.0,62.446503,B1,Diesel,5882.5483,R72
2058976.6,1.0,0.73,C,5.0,3.0,38.0,50.0,B3,Diesel,192.0,R53
3122042.5,0.0,0.82,B,5.0,4.0,49.0,55.0,B1,Diesel,76.20019,R72
2179725.5,0.0,1.0,C,4.0,10.0,54.0,50.0,B1,Regular,159.6292,R11
1152580.2,0.0,0.2,B,5.0,1.0,43.0,50.0,B12,Diesel,72.0,R24
2285570.5,0.0,0.15686174,C,10.0,4.0,38.0,50.0,B12,Regular,276.95834,R22
5010134.5,0.0,0.67,E,6.0,8.0,49.0,50.0,B13,Regular,4128.0,R82
2194465.5,0.0,1.0,D,4.0,9.0,37.0,50.0,B1,Regular,533.62506,R93
6019155.5,0.0,0.13,C,5.0,8.0,30.0,80.0,B6,Diesel,287.0,R91
4182228.5,0.0,0.14,C,10.0,2.0,42.0,50.0,B10,Diesel,214.0,R82
3128689.0,0.0,1.0,A,5.0,3.0,74.0,50.0,B2,Diesel,26.0,R24
4150550.2,0.0,0.08,E,6.0,3.0,31.0,68.0,B2,Diesel,12694.442,R82
2012765.9,0.0,1.0,B,5.0,1.0,65.0,50.0,B2,Diesel,56.84908,R42
3240226.8,0.0,0.02,C,12.0,1.0,47.0,50.0,B12,Diesel,269.0,R72
2258800.8,0.0,0.43,C,6.0,16.0,31.0,62.0,B2,Diesel,309.87537,R24
1187543.1,0.0,1.0,C,7.0,10.0,40.0,50.0,B2,Diesel,204.09982,R72
3177117.0,0.0,0.5847238,B,4.0,1.0,36.0,50.0,B4,Diesel,56.0,R24
2222443.5,0.0,0.36,B,5.0,4.0,44.0,50.0,B3,Regular,75.06758,R82
2053694.4,0.0,0.22,B,6.0,2.0,20.86476,114.21323,B4,Diesel,42.32279,R24
5035953.5,0.0,0.10265808,C,4.0,3.0,57.0,50.0,B1,Diesel,282.0,R41
102236.12,0.0,1.0,B,7.0,4.0,42.0,50.0,B2,Diesel,75.0,R54
3189256.5,0.0,1.0,E,6.0,15.0,28.0,72.0,B5,Diesel,3863.791,R82
61201.266,0.0,0.45,C,6.0,1.0,38.0,90.0,B14,Diesel,240.76328,R41
5018968.0,0.0,0.09,C,6.0,19.0,41.0,57.0,B3,Regular,483.906,R24
3204165.2,0.0,0.5,D,7.0,3.0,52.0,50.0,B10,Diesel,1010.3405,R11
3003168.5,0.0,0.5248907,E,7.0,2.0,52.0,59.0,B12,Diesel,3317.0,R23
2010235.8,0.0,1.0,E,5.0,17.0,51.0,50.0,B1,Regular,5005.507,R72
4055793.2,1.0,1.0,D,10.0,3.0,46.0,50.0,B12,Regular,716.2854,R52
6077896.5,0.0,0.69,C,6.0,0.0,68.0,50.0,B12,Diesel,214.0,R72
3236295.8,0.0,0.3363266,E,6.0,21.0,31.0,95.0,B1,Regular,4128.0,R11
1081879.1,0.0,0.48,C,5.0,17.0,50.0,85.0,B1,Diesel,190.95436,R24
3165477.2,0.0,0.77,B,4.0,1.0,47.0,50.0,B12,Diesel,73.3318,R21
65510.46,1.0,0.07,C,10.0,2.0,32.0,68.0,B13,Regular,173.99118,R72
3153138.2,0.0,0.24,C,8.0,7.0,64.0,50.0,B4,Diesel,261.26425,R53
1070934.8,0.0,0.49,B,4.0,19.0,66.0,50.0,B1,Regular,79.0,R24
67192.49,0.0,0.57,C,5.0,17.0,51.0,68.0,B5,Diesel,295.0,R24
3137126.5,0.0,0.7,E,9.0,0.0,66.0,50.0,B12,Diesel,15722.707,R82
4115041.0,0.0,0.08,E,5.0,10.0,56.0,50.0,B5,Diesel,2049.8442,R31
3021775.5,0.0,0.51,F,7.0,7.0,28.0,80.59766,B2,Diesel,27000.0,R11
1023788.56,0.0,0.75533175,C,6.0,2.0,54.0,85.0,B12,Regular,163.22661,R82
2202153.8,0.0,0.34418368,E,7.0,10.0,23.0,80.0,B13,Regular,3683.3945,R91
2255841.2,0.0,0.07,C,7.0,9.0,34.0,57.0,B1,Regular,298.0,R24
1105309.6,1.0,0.16859105,A,5.0,16.0,44.0,100.0,B1,Regular,25.0,R91
2225776.5,0.0,1.0,A,4.0,7.0,47.0,62.0,B3,Diesel,26.3956,R24
2276191.2,0.0,0.08,D,4.0,3.0,41.0,50.0,B2,Diesel,769.96747,R31
1114947.6,1.0,0.111075774,C,7.0,8.0,66.0,64.0,B12,Diesel,269.0,R24
4137624.0,0.0,0.99,A,4.0,3.0,46.0,50.0,B13,Regular,16.0,R24
1166861.0,1.0,1.0,C,5.0,6.0,34.0,57.0,B6,Diesel,232.64836,R53
3109173.8,0.0,1.0,C,5.0,2.3016126,67.0,50.0,B2,Diesel,269.0,R93
2091101.9,0.0,0.14,E,5.0,3.0,55.0,50.0,B1,Diesel,8455.0,R11
2212290.0,0.0,1.0,C,5.0,3.0,46.0,50.0,B5,Regular,127.99039,R93
4164582.5,0.0,0.15,D,7.0,3.0,46.0,50.0,B3,Regular,473.0,R93
3067499.5,0.0,0.42,E,4.0,7.0,26.0,68.0,B2,Regular,3744.0,R31
4153827.2,0.0,0.05,B,10.0,0.0,56.0,50.0,B12,Regular,86.0,R11
2270755.2,0.0,0.30535114,D,8.0,2.0,71.0,50.0,B4,Regular,524.89185,R25
2267563.0,0.0,1.0,E,7.0,4.0,32.0,50.0,B2,Regular,3848.3594,R91
2264083.5,0.0,0.2,E,5.0,6.0,33.0,64.0,B1,Diesel,3539.263,R93
6046523.5,0.0,0.39,C,5.0,3.0,44.0,50.0,B12,Regular,237.26256,R93
4162843.2,0.0,0.59204555,C,8.0,2.0,36.0,50.0,B12,Regular,192.47534,R82
3028185.8,0.0,0.22,D,7.0,6.0,54.0,50.0,B1,Diesel,405.0,R11
1016574.7,0.0,0.07,C,6.0,1.0,52.0,100.0,B1,Regular,165.0,R24
3115383.0,0.0,0.41,A,8.0,15.0,50.0,50.0,B12,Regular,13.0,R72
3170226.2,0.0,1.0,C,10.0,16.0,39.0,50.0,B3,Diesel,264.9044,R82
1187957.0,0.0,0.12,A,4.0,13.0,46.0,107.69701,B5,Diesel,50.0,R24
3238980.5,0.0,1.0,F,7.0,4.0,33.0,64.0,B3,Diesel,20063.008,R11
5097460.5,0.0,0.09,B,8.0,2.0,46.144,50.0,B12,Diesel,81.0,R11
3028125.2,0.0,1.0,B,4.0,9.0,43.0,50.0,B1,Diesel,118.0,R24
4155207.8,0.0,1.0,C,5.0,21.318449,45.0,50.0,B2,Diesel,212.32185,R82
4126404.0,0.0,0.58,A,4.0,8.0,72.0,50.0,B1,Regular,46.0,R82
2264553.8,0.0,0.42,D,4.0,14.0,32.0,57.0,B1,Regular,851.7852,R93
6113622.0,0.0,0.29,A,7.0,3.0,40.0,100.0,B12,Diesel,29.0,R82
3106280.8,0.0,0.02,E,7.0,4.0,25.0,68.0,B5,Diesel,3708.0,R24
28073.03,0.0,1.0,D,10.0,0.0,30.0,50.0,B2,Regular,1078.8083,R53
5013803.0,0.0,0.94,D,5.0,11.0,32.0,76.0,B2,Diesel,779.6893,R53
3239583.2,0.0,0.43,D,7.0,5.0,36.0,50.0,B1,Diesel,1328.9331,R23
1102213.9,0.0,1.0,C,5.0,8.0,21.0,80.0,B2,Diesel,78.30422,R82
2205708.0,0.0,0.0054737977,C,5.0,3.0,44.0,50.0,B6,Diesel,108.34267,R24
3052073.2,0.0,0.07,B,5.0,3.0,50.0,52.608833,B4,Diesel,66.0,R82
2080815.5,0.0,0.7148179,C,4.0,12.0,43.0,50.0,B1,Regular,149.0,R82
4177690.2,0.0,0.83,E,7.0,1.0,74.0,50.0,B12,Diesel,9307.0,R82
6074492.5,0.0,0.68209547,C,6.0,1.0,58.0,50.0,B12,Diesel,155.22653,R11
3006514.5,0.0,0.25,D,5.0,1.0,61.0,50.0,B1,Diesel,796.3921,R24
2226297.8,0.0,0.5,E,5.0,0.0,63.0,50.0,B12,Diesel,6511.912,R11
5071548.0,0.0,0.24,D,4.0,2.0,73.0,50.0,B12,Regular,1289.1931,R53
1063805.1,0.0,1.0,A,6.0,12.0,41.0,51.0,B2,Regular,31.0,R24
5086235.0,0.0,0.3,D,4.0,2.0,34.0,55.0,B5,Diesel,1052.8562,R82
1178717.2,0.0,1.0,C,5.0,7.0,34.0,50.0,B2,Regular,272.09613,R82
1091126.4,0.0,0.5,D,10.0,6.0,51.0,50.0,B4,Regular,855.17413,R53
3252488.8,0.0,0.67,C,6.0,12.0,32.085873,57.0,B13,Diesel,133.27016,R82
2182401.0,0.0,0.33,A,7.0,12.0,53.0,50.0,B1,Regular,35.0,R52
163006.58,0.0,0.54,D,7.0,12.0,54.0,76.0,B1,Diesel,1054.0,R24
1029007.5,0.0,0.53,A,6.0,6.0,21.0,77.57309,B2,Diesel,35.0,R24
1052239.6,0.0,0.56332403,E,6.0,8.0,44.0,50.0,B2,Diesel,2882.467,R53
1195733.6,0.0,1.0,B,5.0,14.0,45.0,50.0,B3,Regular,59.0,R42
3187694.8,0.0,0.08,E,6.0,10.0,63.289047,57.0,B6,Diesel,4128.0,R91
3101049.5,0.0,1.0,C,7.0,7.0,34.0,68.0,B10,Diesel,289.97626,R52
3082349.8,0.0,0.55,A,10.0,1.0,54.0,50.0,B6,Diesel,31.0,R24
2126753.0,0.0,0.13,F,11.0,11.0,35.0,50.0,B6,Regular,9307.0,R11
3046293.5,0.0,1.0,B,4.0,7.0,65.0,50.0,B1,Diesel,61.908543,R53
25005.318,0.0,1.0,C,7.0,9.0,31.0,72.0,B1,Regular,231.99939,R24
3168994.0,0.0,1.0,D,7.0,5.0,58.0,50.0,B2,Regular,409.0938,R24
2053075.0,0.0,1.0,C,6.0,7.0,42.0,50.0,B10,Regular,229.0,R82
2135262.8,0.0,0.17,E,5.0,13.0,38.0,64.0,B1,Diesel,4116.0,R52
6002835.0,0.0,0.41,C,4.0,4.0,52.0,58.0,B4,Regular,214.0,R82
160896.06,0.0,1.0,B,5.0,17.0,54.0,50.0,B1,Regular,59.0,R24
4131601.2,0.0,1.0,D,7.0,2.0,37.0,51.0,B6,Diesel,678.86804,R82
3130219.5,0.0,0.28,D,5.0,2.0,47.0,50.0,B6,Diesel,452.2616,R24
4016419.2,0.0,1.0,F,10.0,1.0,46.0,50.0,B3,Regular,9307.0,R11
6026256.5,0.0,0.58,B,4.0,4.0,46.0,50.0,B12,Regular,58.0,R23
3212081.5,0.0,0.005479442,D,5.0,9.0,49.0,60.0,B2,Diesel,739.68756,R11
7829.682,1.0,1.0,D,4.0,22.0,40.5961,85.0,B2,Regular,922.4277,R24
2286518.0,0.0,0.08,C,10.0,1.0,49.0,60.0,B12,Diesel,220.81021,R93
2132227.0,0.0,1.0,D,7.0,3.0,79.104614,50.0,B10,Regular,531.2151,R52
83738.54,0.0,0.08,E,6.0,7.0,49.0,59.769688,B5,Regular,9307.0,R11
2128203.5,0.0,1.0,A,5.0,6.0,71.0,50.0,B5,Regular,37.0,R41
1121613.5,0.0,0.47,B,5.0,12.0,54.0,50.0,B5,Regular,59.0,R53
4003294.2,0.0,1.0,B,5.0,6.0,45.0,50.0,B1,Diesel,84.0,R31
4159674.8,0.0,0.82,D,6.0,2.0,38.0,57.0,B12,Diesel,1313.0,R73
98337.88,0.0,1.0,B,7.0,5.0,65.0,50.0,B1,Regular,58.75827,R52
1150570.9,0.0,0.71,D,7.0,3.0,50.0,50.0,B10,Diesel,483.761,R73
4083906.2,0.0,1.0,A,5.0,11.0,71.0,70.23759,B2,Regular,29.0,R53
2122694.0,0.0,0.5,C,5.0,8.0,48.0,50.0,B5,Diesel,134.26355,R25
2261087.5,0.0,1.0,D,6.0,13.0,39.0,50.0,B2,Diesel,1497.6677,R73
4176645.5,0.0,0.08,D,5.0,9.0,41.0,52.0,B2,Regular,686.1448,R73
5013676.5,0.0,0.75,E,10.0,2.0,47.0,50.0,B12,Regular,3744.0,R82
14743.975,1.0,1.0,D,6.0,3.0,71.0,50.0,B5,Regular,642.9173,R72
2284972.2,0.0,1.0,E,5.0,9.0,37.0,59.0,B1,Diesel,4046.7283,R11
3240468.5,0.0,0.54,A,4.0,12.0,33.0,72.0,B1,Regular,6.045159,R24
2014561.2,0.0,1.0,B,5.0,15.0,38.0,54.0,B5,Diesel,94.0,R24
2241383.5,0.0,0.56,D,6.0,9.0,32.0,64.0,B2,Diesel,747.0,R11
4158856.8,1.0,0.03,D,6.0,1.0,29.0,72.0,B1,Diesel,1511.2102,R11
2021439.2,1.0,1.0,A,6.0,6.0,44.0,50.0,B2,Diesel,25.0,R24
5055841.5,0.0,0.44606182,E,4.0,12.0,33.0,57.0,B6,Regular,4242.831,R31
2048319.8,0.0,1.0,A,6.0,13.0,46.0,50.0,B10,Diesel,41.0,R82
156921.42,0.0,0.04,D,7.0,5.0,36.0,80.0,B2,Regular,747.0,R24
1012216.8,0.0,0.24,E,7.0,16.0,47.0,57.0,B3,Regular,3317.0,R93
6007758.0,0.0,0.71,E,7.0,3.0,52.0,50.0,B12,Regular,2692.36,R41
4120317.2,0.0,0.35,D,6.0,2.0,29.0,68.0,B3,Diesel,1313.0,R22
3101828.2,0.0,0.66,E,7.0,4.0,65.0,50.0,B1,Regular,2733.0,R52
1111951.8,0.0,1.0,A,5.0,15.0,78.37858,50.0,B6,Regular,11.0,R24
2148177.2,0.0,0.7948541,A,6.0,0.0,69.0,50.0,B1,Diesel,15.0,R24
3063861.8,0.0,0.03,E,7.0,18.0,73.0,59.019104,B2,Regular,2880.5894,R53
3242702.0,0.0,1.0,A,7.0,20.0,32.0,68.0,B14,Diesel,22.0,R24
54637.688,0.0,0.08,A,6.0,0.0,51.0,68.0,B3,Regular,8.0,R94
2011018.6,0.0,0.75,D,4.0,0.0,47.0,50.0,B12,Regular,1054.0,R26
1185651.0,0.0,0.61,E,7.0,7.0,56.0,50.0,B12,Regular,3317.0,R26
5046112.0,0.0,0.86,B,6.0,11.0,44.0,50.0,B1,Diesel,59.0,R22
1098118.8,0.0,1.0,C,6.0,6.0,26.0,54.0,B5,Regular,292.4089,R24
3161118.8,0.0,0.03,E,6.0,4.0,29.0,95.0,B2,Diesel,7229.4795,R52
4053422.0,0.0,0.7,C,6.0,13.0,46.0,50.0,B5,Diesel,182.0,R91
4078438.0,0.0,1.0,C,4.0,10.0,50.0,50.0,B2,Regular,281.65985,R93
2219687.0,0.0,0.61,C,6.0,4.0,23.0,68.0,B3,Regular,229.0,R82
2114043.2,0.0,1.0,E,5.0,11.0,24.0,72.0,B3,Regular,3688.0,R24
1143255.5,0.0,1.0,A,10.0,3.0,58.0,50.0,B1,Diesel,27.0,R52
1191699.0,1.0,0.45,A,7.0,8.0,26.0,85.0,B1,Diesel,19.0,R82
1057736.4,0.0,0.37,B,6.0,11.0,35.0,59.0,B2,Diesel,46.017826,R83
6012362.0,0.0,0.28,C,7.0,8.0,39.0,64.0,B2,Diesel,250.92572,R53
2145155.5,0.0,0.75,C,4.0,5.0,21.0,85.0,B1,Regular,156.58058,R91
1087535.0,0.0,0.33,E,6.0,4.0,40.0,50.0,B2,Regular,8517.511,R82
6083728.5,0.0,0.13,D,6.0,3.0,31.0,64.0,B12,Regular,472.0112,R93
2010308.9,0.0,0.1,E,5.0,0.0,29.0,72.0,B12,Regular,3309.8892,R93
1128001.2,0.0,1.0,E,15.0,5.0,81.0,50.0,B11,Regular,3708.0,R93
1197392.2,0.0,1.0,C,5.0,2.0,39.0,50.0,B2,Regular,192.0,R24
3036657.8,0.0,1.0,B,4.0,15.0,48.0,50.0,B2,Regular,73.15034,R91
3034338.0,0.0,0.28,E,4.0,8.0,52.0,50.0,B2,Regular,2715.0,R93
127776.48,0.0,1.0,A,10.0,15.0,49.0,50.0,B3,Diesel,27.0,R24
37189.754,0.0,1.0,B,6.0,3.0,63.0,50.0,B1,Diesel,42.0,R24
4117630.0,0.0,0.07,B,10.546274,14.0,32.0,50.0,B2,Regular,53.0,R82
4140895.8,0.0,1.0,E,6.0,18.0,34.0,50.0,B2,Regular,3726.4006,R82
5550362.0,0.0,0.07,D,6.0,13.0,31.0,72.0,B12,Regular,594.7454,R93
4104080.5,0.0,1.0,C,9.0,14.0,59.357403,50.0,B1,Diesel,72.0,R82
67187.28,0.0,0.5,C,4.0,7.0,37.0,90.0,B6,Diesel,473.0,R24
4175388.0,0.0,0.2447254,D,4.0,7.0,34.0,59.0,B2,Diesel,1313.0,R52
6085305.0,0.0,0.71,D,10.0,2.0,75.0,68.0,B12,Regular,399.0,R93
1125782.2,0.0,1.0,A,4.0,10.0,23.0,112.0,B1,Regular,18.72,R24
2221335.5,0.0,0.58,E,7.0,2.0,58.0,50.0,B12,Regular,6970.0557,R93
23875.225,0.0,0.52,C,7.0,9.0,49.0,50.0,B3,Diesel,220.55855,R82
2086684.8,0.0,1.0,E,4.0,4.0,53.0,50.0,B12,Regular,6416.3066,R11
5766613.0,0.0,0.2,C,10.0,0.0,44.0,50.0,B2,Regular,229.0,R53
2281800.5,0.0,1.0,D,7.0,6.0,39.0,50.0,B4,Regular,1305.4055,R82
2014803.9,0.0,0.16,E,6.0,0.0,54.0,50.0,B4,Regular,3344.0793,R52
4001480.5,0.0,1.0,D,6.0,12.0,56.0,50.0,B1,Diesel,777.80176,R93
2262866.2,0.0,0.33,D,8.0,11.0,51.0,50.0,B12,Diesel,1402.2028,R53
4158765.2,0.0,0.21,A,10.0,21.0,29.0,64.0,B1,Regular,19.0,R23
67746.16,0.0,0.52,A,6.0,7.0,23.0,90.0,B3,Regular,16.0,R24
2288003.0,0.0,0.44,E,4.0,12.0,63.0,50.0,B12,Regular,4633.217,R82
3060457.5,0.0,0.02,D,6.0,15.0,32.0,76.0,B6,Regular,689.40454,R31
24763.63,0.0,0.71637064,C,6.0,10.0,29.0,57.0,B2,Diesel,239.27875,R53
169999.52,0.0,0.49,B,6.0,13.0,27.0,64.0,B10,Diesel,77.33787,R26
3237789.5,0.0,0.07,C,4.0,15.049367,72.0,50.0,B2,Regular,527.1306,R82
2176414.5,0.0,0.53,E,5.0,8.0,54.0,64.0,B1,Regular,2872.819,R11
3042905.8,0.0,0.27,D,7.0,6.0,40.0,50.0,B12,Diesel,674.2938,R53
4184459.0,0.0,0.95,D,7.0,1.0,53.0,50.0,B12,Diesel,1220.7418,R82
2101231.5,0.0,0.94,E,10.0,5.0,37.0,64.0,B12,Diesel,4059.0,R93
4167528.2,0.0,0.20989938,C,7.0,2.0,65.09754,50.0,B1,Regular,276.6817,R24
2268397.2,0.0,1.0,D,5.0,9.0,55.0,50.0,B2,Diesel,1446.0444,R24
72709.18,0.0,0.61,A,8.0,10.0,76.0,50.0,B1,Regular,10.0,R41
32028.27,0.0,0.08,B,6.0,11.0,31.0,72.0,B1,Regular,56.0,R53
4176088.2,0.0,1.0,D,9.0,19.0,42.0,50.0,B6,Diesel,1288.6282,R82
3102002.5,0.0,0.3540135,C,6.0,10.0,67.0,50.0,B2,Regular,159.88126,R24
1115178.9,0.0,0.6616152,D,4.0,2.0,43.0,50.0,B12,Regular,1191.7155,R83
3138616.0,0.0,0.74,B,5.0,16.0,23.0,72.0,B1,Regular,43.0,R24
2273477.0,0.0,0.29,B,4.0,5.0,30.0,100.0,B3,Diesel,75.0,R93
2266962.0,0.0,0.04,D,7.0,3.0,41.0,50.0,B3,Diesel,1326.0,R31
