Age,Year,Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy,FraudFound_P
31.0,1996.0,Nov,4,Sunday,Mazda,Urban,Monday,Mar,1,Female,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,10,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,0
31.0,1994.0,Nov,2,Friday,Pontiac,Urban,Friday,Nov,4,Female,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,15,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision,0
39.0,1994.0,Dec,3,Friday,Toyota,Urban,Monday,Dec,3,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,15,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,1 year,1 vehicle,Liability,0
29.0,1996.0,Oct,3,Saturday,Chevrolet,Urban,Monday,Oct,4,Male,Married,Policy Holder,Sedan - Collision,Sport,more than 69000,2,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
31.0,1996.0,Mar,5,Tuesday,Mazda,Urban,Thursday,Mar,2,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,13,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Collision,0
45.0,1994.0,Jun,4,Friday,Honda,Urban,Thursday,Jun,2,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,11,700,2,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,0
37.0,1995.0,Apr,4,Sunday,Mazda,Urban,Wednesday,Jun,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,16,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,0
74.89766,1994.0,Jan,2,Friday,Honda,Rural,Tuesday,Jan,2,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,10,400,2,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,All Perils,0
0.0,1996.0,Dec,3,Sunday,Honda,Urban,Monday,Dec,5,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,7,400,2,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability,0
39.0,1994.0,Sep,1,Tuesday,Mazda,Urban,Wednesday,Sep,2,Male,Married,Third Party,Sedan - Liability,Sport,20000 to 29000,16,400,1,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Liability,0
32.0,1996.0,Mar,3,Saturday,Pontiac,Urban,Tuesday,Mar,4,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,1,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,All Perils,0
26.0,1994.0,Jan,4,Thursday,Toyota,Urban,Thursday,Jan,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,3,400,4,more than 30,more than 30,2 to 4,6 years,26 to 30,No,No,External,none,no change,1 vehicle,All Perils,0
32.979336,1995.0,Nov,4,Monday,Mazda,Urban,Friday,Nov,4,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,5,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,4 to 8 years,2 vehicles,Collision,0
0.0,1995.0,Apr,3,Monday,Honda,Urban,Friday,Apr,4,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,3,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,Liability,0
24.0,1994.0,Sep,5,Thursday,VW,Urban,Friday,Sep,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,6,400,3,more than 30,more than 30,1,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,All Perils,0
28.0,1996.0,Dec,4,Tuesday,Honda,Urban,Tuesday,Dec,5,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,11,400,3,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,0
35.0,1995.0,Feb,4,Friday,Ford,Urban,Thursday,Mar,4,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,11,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,All Perils,0
32.402245,1996.0,Oct,4,Monday,Pontiac,Urban,Wednesday,Nov,1,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,0
72.0,1994.0,Feb,4,Wednesday,Pontiac,Urban,Thursday,Mar,5,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,5,400,2,more than 30,more than 30,1,more than 7,over 65,No,No,External,3 to 5,no change,1 vehicle,All Perils,0
55.0,1994.0,Jul,4,Saturday,Pontiac,Urban,Tuesday,Oct,1,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,15,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,Liability,0
52.0,1994.0,Mar,4,Sunday,Chevrolet,Urban,Wednesday,Mar,4,Male,Married,Third Party,Sedan - Liability,Sport,30000 to 39000,15,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability,0
31.131271,1994.0,Jun,3,Wednesday,Pontiac,Urban,Friday,Jun,3,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,2,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,0
33.0,1996.0,May,4,Friday,Toyota,Urban,Friday,Jun,4,Male,Married,Policy Holder,Sedan - Collision,Sedan,less than 20000,5,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,Yes,No,External,3 to 5,4 to 8 years,2 vehicles,Collision,0
37.0,1994.0,Feb,1,Sunday,Pontiac,Urban,Thursday,Mar,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,5,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,0
47.360046,1994.0,Oct,5,Monday,Toyota,Urban,Friday,Nov,2,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,12,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,Collision,0
33.0,1995.0,Mar,1,Monday,Toyota,Urban,Wednesday,Apr,3,Female,Single,Third Party,Sedan - Collision,Sedan,less than 20000,11,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,Collision,0
24.0,1995.0,Jul,2,Saturday,Chevrolet,Rural,Wednesday,Apr,2,Male,Single,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,16,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,1
60.0,1994.0,Apr,3,Tuesday,Toyota,Urban,Friday,May,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,14,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,Collision,0
62.0,1994.0,Oct,5,Tuesday,Chevrolet,Urban,Friday,Oct,2,Female,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,14,400,1,more than 30,more than 30,1,7 years,51 to 65,No,No,External,none,no change,1 vehicle,All Perils,0
30.0,1996.0,Feb,2,Thursday,Chevrolet,Urban,Monday,Feb,2,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,7,500,2,more than 30,more than 30,none,5 years,31 to 35,No,No,External,3 to 5,2 to 3 years,2 vehicles,Liability,0
39.0,1994.0,Dec,4,Friday,Mazda,Urban,Tuesday,Jan,3,Male,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,12,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,Collision,0
47.0,1994.0,Oct,5,Sunday,Mazda,Urban,Wednesday,Jan,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,7,400,4,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision,0
31.0,1995.0,Aug,3,Saturday,Mazda,Urban,Friday,Aug,1,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,5,400,3,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,Liability,0
34.0,1995.0,Apr,1,Sunday,Ford,Urban,Monday,Apr,1,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,16,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,0
50.0,1994.0,Sep,3,Friday,Pontiac,Urban,Monday,Sep,3,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,6,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,All Perils,0
30.0,1996.0,Aug,1,Tuesday,Toyota,Urban,Wednesday,Aug,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,15,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Collision,0
41.0,1994.0,Feb,1,Friday,Honda,Urban,Tuesday,Feb,2,Female,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,14,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,Collision,0
41.94674,1994.0,Jun,2,Monday,Honda,Rural,Monday,Jun,2,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,16,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,1 to 2,no change,3 to 4,Liability,0
24.0,1995.0,Mar,2,Saturday,Pontiac,Urban,Monday,Aug,1,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,5,400,4,more than 30,more than 30,1,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,Collision,0
47.0,1996.0,Nov,5,Monday,Accura,Urban,Tuesday,Nov,5,Male,Married,Policy Holder,Utility - All Perils,Utility,more than 69000,11,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,All Perils,1
48.0,1996.0,Nov,3,Thursday,Mazda,Urban,Friday,Dec,3,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,11,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,0
54.0,1995.0,May,3,Friday,Pontiac,Rural,Tuesday,May,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,400,4,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,Collision,0
42.413776,1996.0,Jul,2,Monday,Toyota,Urban,Friday,Apr,5,Male,Married,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,2,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,0
37.378593,1994.0,Jul,1,Wednesday,Toyota,Urban,Tuesday,Jul,3,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,13,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,All Perils,0
39.0,1995.0,Sep,3,Friday,Pontiac,Rural,Friday,Sep,4,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,15,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,0
27.0,1995.0,Jan,4,Wednesday,Toyota,Urban,Thursday,Feb,2,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,5,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,Collision,0
48.663383,1996.0,Feb,3,Sunday,Toyota,Urban,Wednesday,Apr,3,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,2,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,Collision,1
38.0,1994.0,Jul,1,Tuesday,Pontiac,Urban,Tuesday,Jul,1,Female,Married,Third Party,Sedan - Collision,Sedan,less than 20000,5,400,1,more than 30,more than 30,2 to 4,5 years,36 to 40,No,No,External,none,no change,1 vehicle,Collision,0
24.0,1996.0,Sep,2,Tuesday,Toyota,Urban,Monday,Sep,3,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,16,400,2,more than 30,more than 30,1,6 years,26 to 30,No,No,External,3 to 5,4 to 8 years,2 vehicles,All Perils,0
33.0,1995.0,Oct,2,Thursday,Honda,Urban,Friday,Oct,2,Male,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,7,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,Liability,0
49.0,1996.0,Aug,1,Wednesday,Chevrolet,Urban,Monday,Sep,1,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,16,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Liability,0
39.0,1994.0,Apr,1,Sunday,Accura,Urban,Wednesday,Apr,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,15,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,All Perils,0
28.0,1995.0,Dec,3,Thursday,Pontiac,Urban,Thursday,Dec,4,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,4,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,0
74.28929,1996.0,Aug,1,Wednesday,Pontiac,Urban,Wednesday,Sep,1,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,7,400,3,more than 30,more than 30,1,more than 7,over 65,No,No,External,none,no change,1 vehicle,All Perils,0
39.0,1994.0,Dec,2,Thursday,Mazda,Urban,Friday,Jan,2,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,16,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,none,no change,1 vehicle,Liability,0
27.0,1995.0,May,3,Monday,Mazda,Urban,Friday,May,2,Male,Married,Third Party,Sedan - Liability,Sport,20000 to 29000,5,700,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,Liability,0
28.0,1994.0,Oct,3,Monday,Honda,Urban,Monday,Feb,3,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,11,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,Liability,0
51.0,1995.0,Jun,2,Friday,Honda,Urban,Wednesday,Jul,3,Female,Single,Third Party,Sport - Collision,Sport,more than 69000,7,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,Collision,0
42.0,1995.0,Aug,3,Thursday,Honda,Urban,Wednesday,Aug,5,Male,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,1,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,4 to 8 years,2 vehicles,All Perils,0
35.0,1995.0,Aug,3,Tuesday,Toyota,Urban,Monday,Nov,2,Male,Single,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,12,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,1 to 2,no change,3 to 4,All Perils,0
41.0,1995.0,Dec,1,Friday,Honda,Urban,Wednesday,Dec,4,Male,Married,Third Party,Sedan - Liability,Sport,20000 to 29000,2,400,3,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,3 to 5,4 to 8 years,2 vehicles,Liability,0
49.0,1996.0,Aug,1,Monday,Nisson,Urban,Monday,Mar,1,Male,Married,Policy Holder,Sedan - Collision,Sedan,more than 69000,12,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,4 to 8 years,2 vehicles,Collision,0
34.0,1995.0,Jul,1,Tuesday,Honda,Rural,Thursday,Sep,4,Male,Single,Policy Holder,Sedan - All Perils,Sedan,more than 69000,10,400,4,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,All Perils,0
