cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cat17,cat18,cat19,cat20,cat21,cat22,cat23,cat24,cat25,cat26,cat27,cat28,cat29,cat30,cat31,cat32,cat33,cat34,cat35,cat36,cat37,cat38,cat39,cat40,cat41,cat42,cat43,cat44,cat45,cat46,cat47,cat48,cat49,cat50,cat51,cat52,cat53,cat54,cat55,cat56,cat57,cat58,cat59,cat60,cat61,cat62,cat63,cat64,cat65,cat66,cat67,cat68,cat69,cat70,cat71,cat72,cat73,cat74,cat75,cat76,cat77,cat78,cat79,cat80,cat81,cat82,cat83,cat84,cat85,cat86,cat87,cat88,cat89,cat90,cat91,cat92,cat93,cat94,cat95,cat96,cat97,cat98,cat99,cat100,cat101,cat102,cat103,cat104,cat105,cat106,cat107,cat108,cat109,cat110,cat111,cat112,cat113,cat114,cat115,cat116,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9,cont10,cont11,cont12,cont13,cont14,loss
A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,H,D,D,D,E,C,A,P,I,D,A,A,E,E,F,F,B,BI,EG,A,U,AW,A,J,IE,0.52504396,0.827585,0.65431,0.229617,0.422268,0.5329565,0.55114424,0.32843,0.479,0.53881,0.457203,0.500382,0.345247,0.23807444,1486.227
A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,B,A,D,D,C,E,C,D,T,I,A,A,C,G,E,F,F,K,BI,BT,A,T,AN,A,P,HG,0.434106,0.620805,0.440642,0.236924,0.281143,0.6979549,0.59856534,0.35533,0.38249,0.56081,0.622276,0.609277,0.684242,0.38132983,3359.9736
A,B,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,B,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,B,D,B,B,C,B,D,B,A,A,A,C,A,D,D,C,E,C,D,T,K,G,A,J,E,F,G,F,K,BI,EB,A,E,AK,E,P,EB,0.378225,0.422197,0.336963,0.364302,0.281143,0.6581814,0.5922188,0.45289,0.46226,0.47225,0.771508,0.785706,0.68689436,0.4713039,850.3855
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,J,A,A,A,G,E,E,J,K,BI,DW,A,AW,BN,F,P,DP,0.477231,0.681761,0.527991,0.364302,0.281143,0.7074253,0.6119051,0.36083,0.45391,0.59334,0.689039,0.692256,0.689974,0.31044734,562.5254
A,B,A,A,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,D,B,D,B,D,B,D,C,B,B,B,A,A,A,A,A,D,B,D,E,A,A,P,F,D,A,A,M,F,F,E,B,BI,AP,A,H,BO,A,P,HQ,0.7462116,0.245921,0.19030474,0.83324,0.281143,0.472523,0.5982118,0.5245,0.54951936,0.51666,0.682315,0.66409934,0.333292,0.6782627,4632.9375
A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,B,H,D,D,D,E,A,A,P,F,A,A,B,F,E,F,H,B,BI,EG,A,U,X,A,J,HA,0.676593,0.737068,0.506105,0.594598,0.725503,0.62628955,0.70303977,0.5544438,0.64103,0.5900555,0.6718228,0.641454,0.48595122,0.22120628,1737.1848
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,D,C,B,B,B,A,A,A,A,A,D,D,D,E,E,A,P,K,A,A,A,D,E,J,C,B,BI,AO,A,AA,N,A,K,HQ,0.34434983,0.555782,0.54977,0.412789,0.93225586,0.220282,0.28995526,0.38318,0.35127,0.36458,0.23862337,0.255941,0.298734,0.41267896,2555.5244
A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,B,B,B,B,C,B,B,B,A,A,A,A,A,D,B,D,E,C,A,P,I,A,A,C,E,F,H,G,B,BI,CO,I,AN,AU,A,K,DJ,0.51056,0.555782,0.506105,0.442784,0.281143,0.407919,0.362969,0.4293,0.44352,0.43919,0.396226,0.366307,0.336261,0.25776243,5961.0166
A,B,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,A,A,C,B,B,B,A,A,A,A,A,C,D,D,E,A,A,P,E,R,A,A,H,E,G,F,B,BI,AP,A,K,N,A,K,KC,0.60163456,0.488789,0.230975,0.373816,0.281143,0.627435,0.46608877,0.42345,0.53565,0.64056,0.453334,0.443374,0.509999,0.7648979,1063.6768
B,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,D,B,D,A,A,A,A,D,B,C,E,C,C,T,L,D,A,A,L,D,G,E,G,BI,EB,A,AY,AF,A,O,DS,0.848648,0.04469475,0.012331692,0.336414,0.281143,0.6703008,0.43314242,0.28815854,0.64296,0.50556,0.275431,0.286079,0.689974,0.38944876,701.4255
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,D,B,C,B,D,B,A,A,A,B,H,D,B,C,E,C,D,T,M,A,A,A,F,E,H,L,K,BI,A,A,A,Y,A,Q,GS,0.325401,0.299102,0.230975,0.208655,0.281143,0.57557,0.49277714,0.26847,0.38249,0.51666,0.569745,0.55738,0.79172933,0.23672697,1444.7278
A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,D,B,B,B,B,B,B,C,B,D,B,D,A,A,B,H,D,D,C,E,G,C,T,F,A,B,E,Q,E,E,H,G,BI,DM,A,B,X,A,P,GC,0.9810855,0.827585,0.61366,0.83884,0.44347924,0.9483119,0.7727504,0.9802,0.97113186,0.8351,0.93865055,0.95670795,0.864518,0.5449695,5178.1294
A,B,A,B,A,A,A,A,B,A,B,A,B,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,B,C,B,D,C,B,D,B,A,A,A,A,A,D,D,C,E,C,D,T,N,I,A,A,F,G,G,J,K,BI,AX,E,N,AO,A,P,DJ,0.513457,0.785784,0.75947195,0.309621,0.422268,0.67405146,0.614204,0.5245,0.479,0.63026,0.757468,0.73216003,0.689974,0.25796366,5455.4717
A,B,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,D,B,D,B,B,C,B,D,D,A,A,B,B,H,D,D,C,E,C,D,T,M,O,A,B,E,E,I,J,K,AB,U,A,AA,AG,A,O,HK,0.312802,0.555782,0.280933,0.422727,0.422268,0.4811313,0.39915752,0.5006,0.32496,0.4556602,0.31685388,0.32157,0.6592582,0.6301422,5535.928
A,B,A,A,B,A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,A,C,B,B,B,A,A,A,B,H,D,D,D,E,E,A,P,I,J,A,B,D,O,I,O,B,BI,EL,A,N,AM,A,L,DA,0.338258,0.620805,0.336963,0.62377,0.281143,0.27757838,0.24169658,0.611318,0.32128,0.32446,0.209813,0.204687,0.339244,0.22077411,2710.4453
A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,D,B,D,B,B,C,B,D,B,A,A,A,B,H,D,B,C,D,E,D,T,O,A,A,C,D,E,J,B,K,BI,DW,A,Q,X,C,P,EC,0.281338,0.15999,0.484196,0.7936187,0.422268,0.39468288,0.359439,0.58354,0.31945,0.28677,0.284869,0.289207,0.41743,0.74197596,806.70874
A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,C,B,B,C,B,D,B,A,A,A,G,H,D,B,C,E,C,D,T,H,A,A,A,L,F,G,I,K,BI,R,C,H,N,A,O,HR,0.838708,0.358319,0.336963,0.373816,0.281143,0.64251435,0.5492005,0.40028,0.6668269,0.60401,0.698978,0.685713,0.71726567,0.74176866,2413.603
A,A,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,D,B,D,B,D,B,D,C,B,B,B,A,A,A,A,A,C,B,D,E,A,A,P,G,A,C,A,A,G,F,H,D,BI,BS,E,K,AG,A,K,CB,0.459904,0.15893167,0.634224,0.284048,0.281143,0.506527,0.7656898,0.3026,0.5105,0.39599,0.797841,0.800726,0.30435,0.72151226,2349.9492
A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,A,B,C,B,B,B,A,A,A,B,H,C,B,D,E,E,A,P,F,A,A,A,D,F,J,G,D,BI,DW,C,AR,AD,A,L,DM,0.28138286,0.245921,0.527991,0.284048,0.281143,0.252511,0.41414958,0.25461,0.34365,0.21983,0.24541,0.25731418,0.287682,0.70839864,2969.7117
A,A,A,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,B,D,A,B,C,B,D,B,A,A,A,A,A,D,D,C,E,A,D,T,I,A,A,C,K,E,E,J,K,BI,DK,A,AI,AT,J,P,DJ,0.861574,0.422197,0.230975,0.594598,0.508483,0.90807927,0.8509854,0.64027,0.7628,0.81591,0.802827,0.785706,0.820538,0.30524907,4291.2026
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,A,B,C,B,A,A,A,G,H,D,D,E,E,G,E,R,I,A,A,A,B,E,G,I,F,BI,DK,A,AG,AD,J,N,GI,0.606064,0.620805,0.484196,0.614134,0.78323,0.673896,0.48434195,0.58354,0.64873,0.74396,0.4922,0.462286,0.689974,0.72176915,719.96545
A,B,B,A,B,A,A,B,B,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,B,A,D,B,D,B,D,B,B,C,B,B,D,A,A,B,A,A,D,B,C,E,E,A,D,F,F,C,B,I,E,F,F,A,BI,CS,A,U,AE,A,O,CK,0.281338,0.245921,0.484196,0.327354,0.422268,0.186254,0.260915,0.29758,0.30859,0.2123,0.209813,0.214808,0.276878,0.7419162,1088.1688
A,B,A,A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,B,C,B,B,D,A,A,A,A,A,C,B,D,E,C,A,P,G,A,A,B,E,E,G,F,B,AB,L,A,AN,A,A,K,DJ,0.462786,0.555782,0.440642,0.789639,0.372405,0.349617,0.33893877,0.36083,0.38249,0.37493,0.29775,0.295524,0.310026,0.40327173,3207.586
A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,D,D,B,B,C,B,B,B,A,A,A,A,A,D,D,C,E,C,A,D,I,G,A,A,D,F,R,H,A,BI,CO,A,R,AE,A,J,DP,0.38810006,0.422197,0.484196,0.412789,0.517162,0.304628,0.381883,0.41182,0.38249,0.37493,0.269248,0.301921,0.30435,0.83793765,687.96533
A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,B,C,E,E,D,T,I,A,A,C,D,F,I,I,K,AB,BT,A,Q,BC,A,N,DJ,0.312802,0.620805,0.6187749,0.62377,0.281143,0.4306352,0.39107376,0.62918,0.38249,0.43919,0.348867,0.377003,0.617748,0.21116312,1258.0609
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B,B,D,D,B,A,C,B,D,B,A,A,A,A,A,D,B,C,E,A,C,T,L,A,A,A,L,E,G,F,G,BI,CO,A,M,G,A,O,KW,0.8939144,0.299102,0.215772,0.713852,0.281143,0.8103989,0.45735675,0.69334,0.93383,0.78396,0.644013,0.682413,0.806381,0.82342166,1031.2078
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,B,D,B,B,C,B,D,B,A,A,A,G,H,D,D,C,E,E,D,T,G,A,A,A,E,E,I,K,K,BI,V,A,AA,N,C,Q,DJ,0.1829146,0.358319,0.397983,0.452887,0.551723,0.398862,0.362399,0.36083,0.31399,0.32935,0.301022,0.279884,0.78245,0.27268782,4857.185
A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,B,D,B,A,C,B,B,B,A,A,A,A,A,D,D,D,E,C,A,P,A,A,A,C,E,F,H,F,B,BI,AB,A,AA,BN,A,K,DP,0.493164,0.681761,0.54977,0.373816,0.718531,0.34935,0.413194,0.41762,0.43524,0.42828,0.352419,0.36580938,0.342239,0.22777821,3027.1323
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,C,D,C,E,C,D,T,G,A,A,A,G,E,G,A,K,BI,CQ,A,AW,Y,A,N,HQ,0.480125,0.422197,0.54977,0.7863714,0.38056,0.662161,0.578072,0.65349996,0.46853,0.56081,0.569745,0.55738,0.660756,0.7310794,2249.042
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,D,B,B,D,D,B,B,C,B,D,B,A,A,A,A,A,D,B,C,E,E,D,T,G,A,A,A,F,E,I,F,K,BI,CS,A,U,AE,C,O,DJ,0.312802,0.199504,0.484196,0.373816,0.666857,0.429383,0.340247,0.28768,0.32128,0.35434,0.257148,0.270746,0.3574,0.25408253,997.579
A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,D,B,B,D,D,B,A,C,B,B,B,A,A,A,A,A,D,B,D,E,A,A,P,C,A,A,A,H,F,G,N,B,BI,AP,A,U,AG,V,J,HK,0.54667,0.078346,0.139862,0.761209,0.388783,0.3960735,0.34945014,0.31796,0.39849,0.50556,0.377724,0.36202207,0.2660669,0.7212979,1014.3382
